Country,WB Code,Region,Survey Year,Survey Type,Median income/consumption
Albania,ALB,Europe & Central Asia,2012,c,6.5
Angola,AGO,Sub-Saharan Africa,2009,c,2.9
Armenia,ARM,Europe & Central Asia,2013,c,5
Australia,AUS,East Asia & Pacific,2010,i,44
Austria,AUT,Europe & Central Asia,2012,i,46.8
Azerbaijan,AZE,Europe & Central Asia,2005,c,7.6
Belarus,BLR,Europe & Central Asia,2012,c,17.1
Belgium,BEL,Europe & Central Asia,2012,i,43
Belize,BLZ,Latin America & Caribbean,1999,i,5.2
Benin,BEN,Sub-Saharan Africa,2011,c,1.8
Bhutan,BTN,South Asia,2012,c,6
Bolivia,BOL,Latin America & Caribbean,2013,i,9.3
Bosnia and Herzegovina,BIH,Europe & Central Asia,2007,c,16.7
Botswana,BWA,Sub-Saharan Africa,2009,c,4.5
Brazil,BRA,Latin America & Caribbean,2013,i,11.4
Bulgaria,BGR,Europe & Central Asia,2012,i,13
Burkina Faso,BFA,Sub-Saharan Africa,2009,c,1.75
Burundi,BDI,Sub-Saharan Africa,2006,c,1.2
Cameroon,CMR,Sub-Saharan Africa,2007,c,2.8
Canada,CAN,North America,2010,i,46.9
Central African Republic,CAF,Sub-Saharan Africa,2008,c,1.35
Chad,TCD,Sub-Saharan Africa,2011,c,2.4
Chile,CHL,Latin America & Caribbean,2013,i,14.2
China - Rural,CHN,East Asia & Pacific,2012,C,3.9
China - Urban,CHN,East Asia & Pacific,2012,C,9.1
Colombia,COL,Latin America & Caribbean,2013,i,8.4
Comoros,COM,Sub-Saharan Africa,2004,c,4.35
"Congo, Dem. Rep.",ZAR,Sub-Saharan Africa,2012,c,1.1
"Congo, Rep.",COG,Sub-Saharan Africa,2011,c,2.95
Costa Rica,CRI,Latin America & Caribbean,2013,i,13.9
Cote d'Ivoire,CIV,Sub-Saharan Africa,2008,c,2.8
Croatia,HRV,Europe & Central Asia,2011,i,15.8
Cyprus,CYP,Europe & Central Asia,2012,i,21.7
Czech Republic,CZE,Europe & Central Asia,2012,i,23.5
Denmark,DNK,Europe & Central Asia,2012,i,42.9
Djibouti,DJI,Middle East & North Africa,2012,c,3.9
Dominican Republic,DOM,Latin America & Caribbean,2013,i,8.1
Ecuador,ECU,Latin America & Caribbean,2013,i,7.8
El Salvador,SLV,Latin America & Caribbean,2013,i,7.2
Estonia,EST,Europe & Central Asia,2012,i,18.9
Ethiopia,ETH,Sub-Saharan Africa,2011,c,2.35
Fiji,FJI,East Asia & Pacific,2009,c,5.65
