"Reference Area","Time Period","Sex","Age group","Units of measurement","Observation Value"
"Afghanistan","2013","Not applicable","Not applicable","Number","45.04142"
"Afghanistan","2012","Not applicable","Not applicable","Number","43.8545"
"Afghanistan","2011","Not applicable","Not applicable","Number","42.79376"
"Afghanistan","2010","Not applicable","Not applicable","Number","43.62042"
"Afghanistan","2009","Not applicable","Not applicable","Number","41.37085"
"Afghanistan","2008","Not applicable","Not applicable","Number","31.37915"
"Afghanistan","2007","Not applicable","Not applicable","Number","31.88292"
"Albania","2014","Not applicable","Not applicable","Number","12.3303"
"Albania","2013","Not applicable","Not applicable","Number","12.91569"
"Albania","2012","Not applicable","Not applicable","Number","13.15755"
"Albania","2011","Not applicable","Not applicable","Number","13.56069"
"Albania","2010","Not applicable","Not applicable","Number","13.59361"
"Albania","2009","Not applicable","Not applicable","Number","13.8416"
"Albania","2008","Not applicable","Not applicable","Number","14.46957"
"Albania","2003","Not applicable","Not applicable","Number","16.41895"
"Albania","2001","Not applicable","Not applicable","Number","16.48796"
"Albania","2000","Not applicable","Not applicable","Number","15.79726"
"Algeria","1997","Not applicable","Not applicable","Number","17.80495"
"Algeria","1996","Not applicable","Not applicable","Number","17.22795"
"Algeria","1995","Not applicable","Not applicable","Number","17.12048"
"Algeria","1994","Not applicable","Not applicable","Number","17.17553"
"Andorra","2012","Not applicable","Not applicable","Number","7.25659"
"Andorra","2011","Not applicable","Not applicable","Number","7.23192"
"Andorra","2010","Not applicable","Not applicable","Number","6.80576"
"Andorra","2009","Not applicable","Not applicable","Number","6.64115"
"Andorra","2006","Not applicable","Not applicable","Number","6.80976"
"Andorra","2005","Not applicable","Not applicable","Number","6.72947"
"Angola","2011","Not applicable","Not applicable","Number","33.27119"
"Angola","2010","Not applicable","Not applicable","Number","36.85848"
"Angola","1998","Not applicable","Not applicable","Number","20.7103"
"Antigua and Barbuda","2012","Not applicable","Not applicable","Number","10.88577"
"Antigua and Barbuda","2010","Not applicable","Not applicable","Number","15.98645"
"Antigua and Barbuda","2009","Not applicable","Not applicable","Number","15.67105"
"Antigua and Barbuda","2008","Not applicable","Not applicable","Number","10.49393"
"Antigua and Barbuda","2000","Not applicable","Not applicable","Number","12.04396"
