"Reference Area","Time Period","Sex","Age group","Units of measurement","Observation Value"
"Afghanistan","2007","Not applicable","Not applicable","Number","30.74908"
"Albania","2014","Not applicable","Not applicable","Number","17.65478"
"Albania","2013","Not applicable","Not applicable","Number","17.93554"
"Albania","2012","Not applicable","Not applicable","Number","17.96082"
"Albania","2011","Not applicable","Not applicable","Number","18.35603"
"Albania","2010","Not applicable","Not applicable","Number","17.04933"
"Albania","2009","Not applicable","Not applicable","Number","16.50547"
"Albania","2008","Not applicable","Not applicable","Number","21.18239"
"Albania","2007","Not applicable","Not applicable","Number","20.56849"
"Albania","2006","Not applicable","Not applicable","Number","20.57922"
"Albania","2005","Not applicable","Not applicable","Number","21.12879"
"Albania","2004","Not applicable","Not applicable","Number","20.72588"
"Albania","2003","Not applicable","Not applicable","Number","20.78361"
"Albania","2002","Not applicable","Not applicable","Number","19.7351"
"Albania","2001","Not applicable","Not applicable","Number","18.22594"
"Albania","2000","Not applicable","Not applicable","Number","18.26418"
"Albania","1999","Not applicable","Not applicable","Number","17.32423"
"Albania","1998","Not applicable","Not applicable","Number","16.58858"
"Algeria","1997","Not applicable","Not applicable","Number","16.15822"
"Algeria","1996","Not applicable","Not applicable","Number","16.34367"
"Algeria","1995","Not applicable","Not applicable","Number","16.31416"
"Algeria","1994","Not applicable","Not applicable","Number","15.98197"
"Andorra","2005","Not applicable","Not applicable","Number","13.98529"
"Angola","2011","Not applicable","Not applicable","Number","20.50581"
"Angola","1998","Not applicable","Not applicable","Number","11.92857"
"Antigua and Barbuda","2012","Not applicable","Not applicable","Number","13.17411"
"Antigua and Barbuda","2010","Not applicable","Not applicable","Number","7.80615"
"Antigua and Barbuda","2009","Not applicable","Not applicable","Number","8.73154"
"Antigua and Barbuda","2000","Not applicable","Not applicable","Number","16.42975"
"Argentina","2008","Not applicable","Not applicable","Number","8.5772"
"Argentina","2007","Not applicable","Not applicable","Number","9.70888"
"Argentina","2006","Not applicable","Not applicable","Number","9.94594"
"Argentina","2005","Not applicable","Not applicable","Number","10.57306"
"Argentina","2004","Not applicable","Not applicable","Number","11.10538"
"Argentina","2003","Not applicable","Not applicable","Number","12.91274"
"Argentina","2002","Not applicable","Not applicable","Number","14.89678"
"Argentina","2001","Not applicable","Not applicable","Number","15.16121"
"Argentina","2000","Not applicable","Not applicable","Number","11.91285"
"Argentina","1998","Not applicable","Not applicable","Number","12.22417"
"Austria","2014","Not applicable","Not applicable","Number","11.79775"
"Austria","2013","Not applicable","Not applicable","Number","11.63756"
"Austria","2012","Not applicable","Not applicable","Number","11.26352"
"Austria","2011","Not applicable","Not applicable","Number","11.45888"
"Austria","2010","Not applicable","Not applicable","Number","11.91916"
"Austria","2009","Not applicable","Not applicable","Number","12.22347"
"Austria","2008","Not applicable","Not applicable","Number","12.55218"
"Austria","2007","Not applicable","Not applicable","Number","13.29308"
"Austria","2006","Not applicable","Not applicable","Number","13.50466"
"Austria","2005","Not applicable","Not applicable","Number","13.29767"
"Austria","2004","Not applicable","Not applicable","Number","12.78895"
"Austria","2003","Not applicable","Not applicable","Number","12.52981"
"Austria","2002","Not applicable","Not applicable","Number","12.59368"
"Austria","1999","Not applicable","Not applicable","Number","12.30354"
"Austria","1998","Not applicable","Not applicable","Number","12.27231"
"Austria","1997","Not applicable","Not applicable","Number","11.35171"
"Austria","1996","Not applicable","Not applicable","Number","11.18754"
"Austria","1995","Not applicable","Not applicable","Number","10.75598"
"Bahamas","2010","Not applicable","Not applicable","Number","12.24927"
"Bahamas","2009","Not applicable","Not applicable","Number","10.02064"
"Bahamas","2008","Not applicable","Not applicable","Number","12.66297"
"Bahamas","2007","Not applicable","Not applicable","Number","12.01147"
"Bahamas","2006","Not applicable","Not applicable","Number","12.43973"
"Bahamas","2005","Not applicable","Not applicable","Number","10.91835"
"Bahamas","2004","Not applicable","Not applicable","Number","12.22833"
"Bahamas","2002","Not applicable","Not applicable","Number","14.52068"
"Bahamas","1999","Not applicable","Not applicable","Number","15.59096"
"Bahrain","2014","Not applicable","Not applicable","Number","8.99816"
"Bahrain","2013","Not applicable","Not applicable","Number","9.06705"
"Bahrain","2012","Not applicable","Not applicable","Number","8.23439"
"Bahrain","2011","Not applicable","Not applicable","Number","9.07416"
"Bangladesh","2013","Not applicable","Not applicable","Number","33.24147"
"Bangladesh","2012","Not applicable","Not applicable","Number","30.15118"
"Bangladesh","2011","Not applicable","Not applicable","Number","28.09058"
"Bangladesh","2010","Not applicable","Not applicable","Number","25.77661"
"Bangladesh","2009","Not applicable","Not applicable","Number","26.12235"
"Bangladesh","2008","Not applicable","Not applicable","Number","24.2615"
"Bangladesh","2007","Not applicable","Not applicable","Number","21.42344"
"Bangladesh","2006","Not applicable","Not applicable","Number","21.3636"
