Description,Original link,Organization website,Source of data (i.e. what study or report),Date accessed,Date published,Raw data filename,Units
Population (thousands),Population,http://data.un.org/,World Health Organization,2021-11-16,2014-07-31,data.csv,Thousands
Compulsory attendance duration,Compulsory,https://data.worldbank.org/,UNESCO Institute for Statistics,2021-11-16,2021-09-01,compulsory_duration.csv,Years
Early education attendance rate,Early Education,http://data.un.org/,United Nations Children's Fund: The State of the World’s Children,2021-11-16,2013-06-19,early_education_rates.csv,Percent
Primary enrollment,Primary,http://data.un.org/,United Nations Statistics Division: Gender Info 2007,2021-11-16,2008-03-21,primary.csv,Number
Secondary enrollment,Secondary,http://data.un.org/,United Nations Statistics Division: Gender Info 2007,2021-11-16,2008-03-21,secondary.csv,Number
Tertiary enrollment,Tertiary,http://data.un.org/,United Nations Statistics Division: Gender Info 2007,2021-11-16,2008-03-21,tertiary.csv,Number
Male literacy rate,Male Literacy,http://data.un.org/,United Nations Statistics Division: Gender Info 2007,2021-11-16,2008-03-21,15+.csv,Percent
Female literacy rate,Female Literacy,http://data.un.org/,United Nations Statistics Division: Gender Info 2007,2021-11-16,2008-03-21,15+.csv,Percent
Primary completion rate,Completion Rate,https://data.worldbank.org/,UNESCO Institute for Statistics,2021-11-16,2021-09-01,primary_completion.csv,% of relevant age group
Primary to secondary transition rate,Transition,http://data.un.org/,UNESCO Institute for Statistics: UIS Data Centre,2021-11-16,2016-10-24,primary_to_secondary_transition.csv,Percent
Primary drop out rate,Drop Out,http://data.un.org/,UNESCO Institute for Statistics: UIS Data Centre,2021-11-16,2016-10-24,primary.csv,Percent
Lower secondary repeaters count,Secondary Repeater,http://data.un.org/,UNESCO Institute for Statistics: UIS Data Centre,2021-11-16,2016-10-24,lower_secondary_counts.csv,Number
Primary repeaters count,Repeater Count,http://data.un.org/,UNESCO Institute for Statistics: UIS Data Centre,2021-11-16,2016-10-24,primary_counts.csv,Number
Primary repeaters rate,Repeater Rate,http://data.un.org/,UNESCO Institute for Statistics: UIS Data Centre,2021-11-16,2016-10-24,primary_percentages.csv,Percent
School life expectancy,School Life Expectancy,http://data.un.org/,UNESCO Institute for Statistics: UIS Data Centre,2021-11-16,2016-10-24,expectancy.csv,Years
Lower secondary teacher-student ratio,Lower Secondary,http://data.un.org/,UNESCO Institute for Statistics: UIS Data Centre,2021-11-16,2016-10-24,lower_secondary.csv,Students per Teacher
Primary teacher-student ratio,Primary,http://data.un.org/,UNESCO Institute for Statistics: UIS Data Centre,2021-11-16,2016-10-24,primary.csv,Students per Teacher
Upper secondary teacher-student ratio,Upper Secondary,http://data.un.org/,UNESCO Institute for Statistics: UIS Data Centre,2021-11-16,2016-10-24,upper_secondary.csv,Students per Teacher
Education spending (percentage of GDP),Education Spending,https://data.worldbank.org/,UNESCO Institute for Statistics,2021-11-16,2021-09-01,percentage_GDP.csv,% of GDP
Unemployment rate,Unemployment Rate,https://www.ilo.org/,ILO Modelled Estimates,2021-11-16,2020-11-01,,Percent
Child labor percentage,Child Labor,http://data.un.org/,United Nations Children's Fund: The State of the World’s Children,2021-11-16,2013-06-19,UNChildLabor.csv,Percent
Average income,Avg Income,http://data.un.org/,United Nations Statistics Division: National Accounts Official Country Data,2021-11-16,2021-09-23,UNdata_Export_20211112_234256215.csv,Number in Currency
Average Income GNI,Avg Income GNI,https://data.worldbank.org/,"World Bank national accounts data, and OECD National Accounts data files.",2021-11-16,N/A,API_NY.GNP.PCAP.CD_DS2_en_csv_v2_3159868.csv,US $
Median Income,Median Income,https://www.cgdev.org/,"PovcalNet, the World Bank’s global poverty database",2021-11-16,2016-02-06,country-median-data-2011-PPP-Diofasi-Birdsall.csv,$ per day
GDP (USD),GDP,https://data.worldbank.org/,"World Bank national accounts data, and OECD National Accounts data files.",2021-11-16,N/A,gdp_current.csv,Millions US $
Labor force count,Labor Force,http://data.un.org/,International Monetary Fund: International Financial Statistics,2021-11-16,2010-05-14,labor_statistics_un.csv,Thousands
Three year average unnourished count,Avg Unnourished,http://data.un.org/,Food and Agriculture Organization,2021-11-16,2020-12-04,3YearAvg.csv,Millions
